,Name,Age,Nationality,Overall,Club,Value,Wage,Preferred Foot,International Reputation,Work Rate,Height,Weight
64,Y. Tielemans,25,Belgium,84,Leicester City,€52.5M,€115K,Right,2.0,Medium/ Medium,176cm,72.0
65,Fred,29,Brazil,80,Manchester United,€20.5M,€120K,Left,3.0,High/ High,169cm,62.0
66,Bernardo Silva,27,Portugal,88,Manchester City,€97.5M,€260K,Left,2.0,High/ High,173cm,64.0
67,Grimaldo,26,Spain,82,SL Benfica,€36.5M,€19K,Left,3.0,High/ Medium,172cm,67.0
68,Carlos Soler,25,Spain,83,Valencia CF,€53M,€51K,Right,2.0,Medium/ Medium,180cm,76.0
69,Diogo Jota,25,Portugal,85,Liverpool,€76M,€170K,Right,2.0,High/ High,178cm,73.0
70,J. Bellingham,19,England,84,Borussia Dortmund,€81.5M,€41K,Right,2.0,High/ High,186cm,75.0
71,G. Kondogbia,29,Central African Republic,82,Atlético de Madrid,€29.5M,€71K,Left,2.0,Medium/ High,188cm,80.0
72,K. Trippier,31,England,84,Newcastle United,€30.5M,€120K,Right,2.0,Medium/ Medium,173cm,71.0
73,19 C. Marchisio,31,Italy,84,Juventus,€19.5M,€130K,Right,3.0,High/ High,180cm,74.0
74,T. Delaney,30,Denmark,81,Sevilla FC,€21.5M,€33K,Left,2.0,Low/ High,182cm,79.0
75,K. Mbappé,23,France,91,Paris Saint-Germain,€190.5M,€230K,Right,4.0,High/ Low,182cm,73.0
76,S. Obisanya,22,Nigeria,81,AFC Richmond,€52.5M,€55K,Right,1.0,High/ High,185cm,77.0
77,Yuri Berchiche,32,Spain,82,Athletic Club de Bilbao,€21M,€35K,Left,2.0,High/ Medium,181cm,80.0
78,J. Corona,29,Mexico,81,Sevilla FC,€25.5M,€40K,Right,3.0,Medium/ Medium,173cm,66.0
79,L. Robertone,25,Argentina,76,Unión Deportiva Almería,€10.5M,€24K,Right,1.0,Medium/ High,175cm,70.0
80,M. Sabitzer,28,Austria,80,FC Bayern München,€21M,€67K,Right,3.0,High/ High,178cm,76.0
81,H. Çalhanoğlu,28,Turkey,84,Inter,€42M,€100K,Right,3.0,High/ High,178cm,76.0
82,Rúben Neves,25,Portugal,83,Wolverhampton Wanderers,€47.5M,€105K,Right,2.0,Low/ High,180cm,80.0
83,Ó. Trejo,34,Argentina,79,Rayo Vallecano,€8M,€25K,Right,1.0,High/ Medium,180cm,79.0
84,K. Demirbay,28,Germany,81,Bayer 04 Leverkusen,€25.5M,€65K,Left,2.0,High/ Medium,183cm,71.0
85,R. Guerreiro,28,Portugal,82,Borussia Dortmund,€27.5M,€57K,Left,3.0,High/ Low,170cm,71.0
86,A. Davies,21,Canada,84,FC Bayern München,€60.5M,€59K,Left,3.0,High/ Low,185cm,77.0
87,D. Wass,33,Denmark,79,Atlético de Madrid,€11M,€55K,Right,2.0,Medium/ Medium,181cm,74.0
88,T. Koopmeiners,24,Netherlands,80,Atalanta,€30M,€49K,Left,2.0,Medium/ Medium,183cm,77.0
89,J. Veretout,29,France,79,Olympique de Marseille,€15M,€42K,Right,2.0,Medium/ Medium,177cm,67.0
90,P. Pogba,29,France,85,Juventus,€52.5M,€165K,Right,4.0,Medium/ Low,191cm,84.0
91,Jesús Navas,36,Spain,83,Sevilla FC,€8M,€28K,Right,2.0,High/ Medium,172cm,60.0
92,Ricardo Pereira,28,Portugal,83,Leicester City,€33M,€105K,Right,3.0,High/ High,175cm,70.0
93,Fabinho,28,Brazil,87,Liverpool,€77M,€185K,Right,3.0,Medium/ High,188cm,78.0
94,Saúl,27,Spain,80,Atlético de Madrid,€24M,€58K,Left,3.0,Medium/ Medium,184cm,75.0
95,L. Martínez,24,Argentina,86,Inter,€98.5M,€110K,Right,3.0,High/ Medium,174cm,72.0
96,Parejo,33,Spain,86,Villarreal CF,€42M,€64K,Right,2.0,Medium/ Medium,182cm,74.0
97,G. Lo Celso,26,Argentina,81,Tottenham Hotspur,€31.5M,€100K,Left,1.0,High/ Medium,177cm,68.0
98,Roberto Firmino,30,Brazil,83,Liverpool,€35.5M,€150K,Right,3.0,High/ High,181cm,76.0
99,C. Biraghi,29,Italy,80,Fiorentina,€18.5M,€58K,Left,2.0,Medium/ Medium,185cm,78.0
100,Cristiano Ronaldo,37,Portugal,90,Manchester United,€41M,€220K,Right,5.0,High/ Low,187cm,83.0
101,F. Mendy,27,France,83,Real Madrid CF,€38M,€170K,Left,1.0,High/ High,180cm,73.0
102,Neymar Jr,30,Brazil,89,Paris Saint-Germain,€99.5M,€200K,Right,5.0,High/ Medium,175cm,68.0
103,G. Bale,32,Wales,81,Los Angeles FC,€20.5M,€14K,Left,4.0,Medium/ Medium,185cm,82.0
104,R. Andrich,27,Germany,81,Bayer 04 Leverkusen,€26.5M,€57K,Right,2.0,High/ High,187cm,83.0
105,K. Laimer,25,Austria,83,RB Leipzig,€38.5M,€64K,Right,2.0,Medium/ High,180cm,72.0
106,M. Reus,33,Germany,85,Borussia Dortmund,€33.5M,€78K,Right,4.0,High/ Medium,180cm,71.0
107,M. Arnold,28,Germany,80,VfL Wolfsburg,€20.5M,€51K,Left,2.0,High/ Medium,184cm,74.0
108,N. Kanté,31,France,89,Chelsea,€72M,€220K,Right,4.0,Medium/ High,168cm,70.0
109,A. Robertson,28,Scotland,87,Liverpool,€72M,€185K,Left,3.0,High/ High,178cm,64.0
110,A. Florenzi,31,Italy,79,AC Milan,€12.5M,€60K,Right,3.0,High/ Medium,173cm,67.0
111,17 S. Gerrard,36,England,81,LA Galaxy,€1.4M,€10K,Right,3.0,Medium/ Medium,183cm,83.0
112,Y. Carrasco,28,Belgium,85,Atlético de Madrid,€54.5M,€90K,Right,3.0,High/ High,185cm,73.0
113,Anderson Talisca,28,Brazil,82,Al Nassr,€31M,€64K,Left,2.0,High/ Low,190cm,80.0
114,Lucas Vázquez,31,Spain,81,Real Madrid CF,€18.5M,€140K,Right,2.0,High/ Medium,173cm,70.0
115,Oscar,30,Brazil,81,Shanghai Port FC,€25M,€28K,Right,3.0,High/ Medium,179cm,70.0
116,Renan Lodi,24,Brazil,80,Atlético de Madrid,€29.5M,€46K,Left,1.0,High/ Medium,173cm,68.0
117,M. Faraoni,30,Italy,78,Hellas Verona,€12M,€27K,Right,1.0,High/ High,180cm,71.0
118,T. Savanier,30,France,81,Montpellier Hérault SC,€25M,€33K,Right,2.0,High/ Medium,172cm,69.0
119,N. Stanciu,29,Romania,79,Wuhan Three Towns,€17M,€26K,Right,2.0,Medium/ Medium,170cm,63.0
120,L. Paredes,28,Argentina,80,Paris Saint-Germain,€18.5M,€79K,Right,2.0,Medium/ Medium,180cm,75.0
121,J. Ward-Prowse,27,England,81,Southampton,€29.5M,€69K,Right,2.0,High/ High,173cm,66.0
122,M. Casco,34,Argentina,77,River Plate,€3.9M,€17K,Right,1.0,High/ Low,170cm,69.0
123,R. Nainggolan,34,Belgium,76,Royal Antwerp FC,€3.5M,€22K,Right,3.0,Medium/ Low,177cm,89.0
124,K. Benzema,34,France,91,Real Madrid CF,€64M,€450K,Right,4.0,Medium/ Medium,185cm,81.0
125,T. Kroos,32,Germany,88,Real Madrid CF,€72M,€310K,Right,4.0,Medium/ Medium,183cm,76.0
126,17 P. Lahm,32,Germany,88,FC Bayern München,€29.5M,€200K,Right,4.0,Medium/ High,170cm,66.0
127,É. Banega,34,Argentina,81,Al Shabab,€12M,€47K,Right,3.0,Medium/ Medium,176cm,78.0
128,Pedro Porro,22,Spain,81,Sporting CP,€38.5M,€15K,Right,1.0,High/ Medium,173cm,69.0
129,A. Barák,27,Czech Republic,81,Hellas Verona,€30M,€41K,Left,1.0,High/ Medium,190cm,86.0
130,T. Partey,29,Ghana,84,Arsenal,€36M,€115K,Right,2.0,Medium/ High,185cm,77.0
131,A. Tchouaméni,22,France,82,Real Madrid CF,€61.5M,€145K,Right,2.0,Medium/ High,187cm,81.0
132,Á. Di María,34,Argentina,84,Juventus,€20M,€160K,Left,4.0,High/ Medium,180cm,69.0
133,19 Filipe Luís,32,Brazil,85,Atlético de Madrid,€21.5M,€80K,Left,3.0,High/ Medium,182cm,74.0
134,M. Kovačić,28,Croatia,84,Chelsea,€42M,€155K,Right,3.0,High/ High,176cm,80.0
135,H. Son,29,Korea Republic,89,Tottenham Hotspur,€101M,€240K,Right,4.0,High/ Medium,183cm,78.0
136,T. Müller,32,Germany,87,FC Bayern München,€63M,€115K,Right,4.0,High/ High,185cm,76.0
137,Á. Correa,27,Argentina,83,Atlético de Madrid,€42.5M,€80K,Right,2.0,High/ Medium,171cm,70.0
138,Marcos Alonso,31,Spain,79,Chelsea,€12.5M,€95K,Left,2.0,High/ Low,188cm,85.0
139,Sergio Ramos,36,Spain,84,Paris Saint-Germain,€7.5M,€75K,Right,4.0,High/ Medium,184cm,82.0
140,M. Pjanić,32,Bosnia and Herzegovina,81,FC Barcelona,€20M,€145K,Right,3.0,Medium/ Medium,178cm,72.0
141,E. Buendía,25,Argentina,80,Aston Villa,€26.5M,€84K,Right,3.0,High/ High,172cm,65.0
142,G. Bonaventura,32,Italy,78,Fiorentina,€11M,€52K,Right,2.0,High/ Medium,181cm,75.0
143,16 Maicon,33,Brazil,77,Roma,€2.9M,€70K,Right,3.0,High/ Medium,184cm,77.0
144,G. Di Lorenzo,28,Italy,82,Napoli,€27.5M,€66K,Right,2.0,Medium/ Medium,183cm,83.0
145,Y. Bissouma,25,Mali,81,Tottenham Hotspur,€34.5M,€88K,Right,1.0,High/ Medium,182cm,80.0
146,M. Hamšík,34,Slovakia,80,Trabzonspor,€9.5M,€45K,Right,3.0,High/ Medium,183cm,73.0
147,22 Marcelo,33,Brazil,79,Real Madrid CF,€9M,€125K,Left,4.0,High/ Low,174cm,75.0
148,21 Hulk,33,Brazil,80,Shanghai Port FC,€13M,€20K,Left,4.0,High/ Low,180cm,85.0
149,Raúl García,35,Spain,80,Athletic Club de Bilbao,€9M,€28K,Right,2.0,Medium/ Medium,184cm,83.0
150,Rodri,26,Spain,87,Manchester City,€88.5M,€200K,Right,3.0,Medium/ High,191cm,82.0
151,T. Pobega,22,Italy,76,AC Milan,€17M,€45K,Left,1.0,High/ Medium,188cm,78.0
152,O. Zinchenko,25,Ukraine,79,Arsenal,€21.5M,€73K,Left,2.0,High/ Medium,175cm,64.0
153,E. Fernández,21,Argentina,78,SL Benfica,€31.5M,€12K,Right,1.0,High/ High,180cm,77.0
154,Adryan Zonta,30,Brazil,81,RB Bragantino,€22M,€23K,Left,1.0,Medium/ Medium,172cm,68.0
155,Cucurella,23,Spain,81,Chelsea,€34.5M,€90K,Left,1.0,High/ High,172cm,66.0
156,Jonathan Viera,32,Spain,80,Unión Deportiva Las Palmas,€16.5M,€14K,Right,2.0,High/ Medium,171cm,67.0
157,I. Rakitić,34,Croatia,82,Sevilla FC,€14M,€39K,Right,3.0,Medium/ Medium,184cm,78.0
158,T. Vilhena,27,Netherlands,76,RCD Espanyol de Barcelona,€8M,€19K,Left,2.0,High/ High,175cm,70.0
159,M. Cornet,25,Côte d'Ivoire,78,West Ham United,€18.5M,€63K,Left,2.0,High/ Medium,179cm,69.0
160,Raphinha,25,Brazil,83,FC Barcelona,€48M,€180K,Left,2.0,High/ High,176cm,68.0
161,Arthur,25,Brazil,80,Juventus,€26.5M,€100K,Right,2.0,Medium/ Medium,171cm,73.0
162,21 Santi Cazorla,35,Spain,82,,€0,€0,Right,3.0,High/ Medium,168cm,65.0
163,Jorginho,30,Italy,85,Chelsea,€51.5M,€165K,Right,2.0,Medium/ Medium,180cm,68.0
164,J. McGinn,27,Scotland,79,Aston Villa,€20M,€83K,Left,2.0,High/ High,178cm,68.0
165,M. Guendouzi,23,France,80,Olympique de Marseille,€33M,€41K,Right,1.0,Medium/ High,185cm,68.0
166,Sérgio Oliveira,30,Portugal,79,Galatasaray SK,€17M,€70K,Right,1.0,Medium/ Medium,181cm,78.0
167,A. Rabiot,27,France,80,Juventus,€24M,€105K,Left,2.0,Medium/ Medium,192cm,80.0
168,D. Klaassen,29,Netherlands,79,Ajax,€17M,€21K,Right,2.0,High/ High,179cm,70.0
169,N. Fekir,28,France,85,Real Betis Balompié,€54.5M,€48K,Left,3.0,High/ Medium,173cm,75.0
170,P. Zieliński,28,Poland,83,Napoli,€36.5M,€78K,Right,3.0,Medium/ Medium,180cm,75.0
171,H. Mkhitaryan,33,Armenia,81,Inter,€16M,€74K,Right,3.0,High/ Low,177cm,75.0
172,E. Camavinga,19,France,79,Real Madrid CF,€38M,€78K,Left,3.0,High/ High,182cm,68.0
173,Fabián,26,Spain,83,Napoli,€44.5M,€75K,Left,2.0,Medium/ Medium,189cm,70.0
174,J. Milner,36,England,78,Liverpool,€4.4M,€69K,Right,2.0,Medium/ High,175cm,70.0
175,Ander Herrera,32,Spain,79,Paris Saint-Germain,€14M,€78K,Right,3.0,High/ High,182cm,71.0
176,H. Herrera,32,Mexico,80,Houston Dynamo,€16.5M,€12K,Right,3.0,Medium/ Medium,185cm,78.0
177,J. Álvarez,22,Argentina,78,Manchester City,€32M,€100K,Right,1.0,High/ High,173cm,71.0
178,R. Baku,24,Germany,80,VfL Wolfsburg,€30M,€46K,Right,2.0,High/ Medium,176cm,75.0
179,V. Rongier,27,France,78,Olympique de Marseille,€16M,€40K,Right,2.0,Medium/ Medium,172cm,70.0
180,E. Haaland,21,Norway,88,Manchester City,€148M,€220K,Left,4.0,High/ Medium,195cm,94.0
181,M. Locatelli,24,Italy,82,Juventus,€40M,€37K,Right,2.0,Medium/ High,185cm,75.0
182,L. Martínez,24,Argentina,81,Manchester United,€35M,€95K,Left,2.0,Medium/ High,178cm,77.0
183,D. Sow,25,Switzerland,80,Eintracht Frankfurt,€26.5M,€34K,Right,2.0,Medium/ High,184cm,76.0
184,19 Ramires,31,Brazil,80,Jiangsu FC,€10M,€30K,Right,3.0,High/ High,179cm,69.0
185,M. Mount,23,England,84,Chelsea,€57.5M,€130K,Right,3.0,High/ High,180cm,74.0
186,F. Coquelin,31,France,80,Villarreal CF,€17.5M,€39K,Right,2.0,Medium/ High,176cm,74.0
187,Danilo,30,Brazil,80,Juventus,€18M,€95K,Right,2.0,Medium/ High,184cm,78.0
188,D. van de Beek,25,Netherlands,79,Manchester United,€25.5M,€105K,Right,3.0,High/ Medium,184cm,74.0
189,J. Vardy,35,England,85,Leicester City,€23M,€110K,Right,3.0,High/ Medium,179cm,74.0
190,S. Fofana,27,Côte d'Ivoire,81,Racing Club de Lens,€27.5M,€43K,Right,2.0,High/ High,185cm,74.0
191,L. Provod,25,Czech Republic,75,SK Slavia Praha,€8M,€1K,Left,1.0,High/ High,189cm,84.0
192,V. van Dijk,30,Netherlands,90,Liverpool,€98M,€230K,Right,4.0,Medium/ High,193cm,92.0
193,Gerson,25,Brazil,78,Olympique de Marseille,€19.5M,€38K,Left,2.0,Medium/ Medium,184cm,76.0
194,R. Aliendro,31,Argentina,76,River Plate,€6M,€17K,Right,1.0,High/ High,173cm,72.0
195,18 Gabi,33,Spain,81,Atlético de Madrid,€10.5M,€60K,Right,3.0,Medium/ High,181cm,74.0
196,Otávio,27,Portugal,82,FC Porto,€32.5M,€21K,Right,1.0,High/ High,171cm,67.0
197,K. Volland,29,Germany,82,AS Monaco,€30.5M,€76K,Left,2.0,High/ High,179cm,85.0
198,M. Pašalić,27,Croatia,81,Atalanta,€27.5M,€60K,Right,2.0,Medium/ Medium,188cm,82.0
199,R. Kent,40,England,83,AFC Richmond,€0,€45K,Left,1.0,High/ High,182cm,82.0
200,Álex Berenguer,26,Spain,80,Athletic Club de Bilbao,€23M,€33K,Right,1.0,High/ Medium,175cm,73.0
201,Gedson Fernandes,23,Portugal,77,Beşiktaş JK,€15M,€42K,Right,1.0,High/ High,181cm,71.0
202,L. Torreira,26,Uruguay,81,Galatasaray SK,€28.5M,€73K,Right,2.0,Medium/ High,166cm,60.0
203,A. Zambo Anguissa,26,Cameroon,81,Napoli,€28.5M,€58K,Right,1.0,Medium/ Low,184cm,78.0
204,R. Karsdorp,27,Netherlands,80,Roma,€22M,€63K,Right,2.0,High/ Medium,184cm,80.0
205,M. de Roon,31,Netherlands,80,Atalanta,€15M,€51K,Right,3.0,Medium/ High,185cm,76.0
206,C. McGregor,29,Scotland,77,Celtic,€9M,€50K,Left,1.0,High/ High,178cm,74.0
207,João Moutinho,35,Portugal,81,Wolverhampton Wanderers,€10.5M,€70K,Right,3.0,Medium/ Medium,170cm,61.0
208,22 M. Dembélé,33,Belgium,79,Guangzhou City,€11M,€21K,Left,3.0,High/ High,185cm,85.0
209,Bruno Guimarães,24,Brazil,81,Newcastle United,€38.5M,€88K,Right,2.0,High/ High,182cm,74.0
210,João Félix,22,Portugal,84,Atlético de Madrid,€68.5M,€78K,Right,2.0,Medium/ Medium,181cm,70.0
211,M. Arnautović,33,Austria,82,Bologna,€19.5M,€51K,Right,3.0,Medium/ Low,192cm,83.0
212,Richarlison,25,Brazil,81,Tottenham Hotspur,€34.5M,€105K,Right,3.0,High/ Medium,181cm,71.0
213,M. Ødegaard,23,Norway,84,Arsenal,€63.5M,€105K,Left,3.0,High/ Medium,178cm,68.0
214,Pedri,19,Spain,85,FC Barcelona,€116M,€115K,Right,2.0,High/ High,174cm,61.0
215,A. Doucouré,29,Mali,79,Everton,€17M,€49K,Right,2.0,High/ High,184cm,76.0
216,Gerard Moreno,30,Spain,85,Villarreal CF,€53M,€64K,Left,2.0,High/ Medium,180cm,77.0
217,P. Højbjerg,26,Denmark,83,Tottenham Hotspur,€40.5M,€110K,Right,2.0,High/ High,187cm,84.0
218,Capa,30,Spain,77,Athletic Club de Bilbao,€9M,€25K,Right,2.0,High/ High,175cm,75.0
219,22 Fernandinho,36,Brazil,81,Manchester City,€5M,€86K,Right,3.0,Medium/ High,179cm,67.0
220,L. Advíncula,32,Peru,76,Boca Juniors,€5M,€16K,Right,1.0,High/ Medium,180cm,80.0
221,P. Dybala,28,Argentina,86,Roma,€69.5M,€130K,Left,3.0,High/ Low,177cm,75.0
222,R. Bentancur,25,Uruguay,79,Tottenham Hotspur,€24.5M,€85K,Right,2.0,Medium/ Medium,187cm,73.0
223,D. Tadić,33,Serbia,84,Ajax,€26.5M,€32K,Left,3.0,Medium/ Medium,181cm,76.0
224,T. Holeš,29,Czech Republic,78,SK Slavia Praha,€12M,€1K,Right,1.0,High/ High,180cm,73.0
225,B. Chilwell,25,England,82,Chelsea,€37M,€110K,Left,2.0,High/ Medium,180cm,77.0
226,19 F. Guarín,32,Colombia,74,Shanghai Shenhua FC,€3.2M,€15K,Right,3.0,High/ Medium,183cm,80.0
227,L. Spinazzola,29,Italy,82,Roma,€27M,€77K,Right,3.0,High/ Medium,186cm,75.0
228,R. Delgado,32,Argentina,73,Club Atlético Colón,€2M,€11K,Left,1.0,High/ Medium,178cm,70.0
229,Carvajal,30,Spain,84,Real Madrid CF,€36.5M,€185K,Right,3.0,High/ Medium,173cm,73.0
230,N. Mazraoui,24,Morocco,82,FC Bayern München,€40.5M,€59K,Right,2.0,High/ Low,183cm,62.0
231,22 Pizzi,31,Portugal,79,İstanbul Başakşehir FK,€14.5M,€17K,Right,3.0,High/ Medium,177cm,72.0
232,A. Oxlade-Chamberlain,28,England,77,Liverpool,€10.5M,€90K,Right,2.0,High/ High,175cm,70.0
233,Gabriel,28,Brazil,75,SL Benfica,€5.5M,€14K,Left,1.0,Medium/ High,187cm,83.0
234,15 Xavi,34,Spain,86,FC Barcelona,€15.5M,€160K,Right,4.0,Medium/ Medium,170cm,67.0
235,Portu,30,Spain,78,Getafe CF,€13.5M,€33K,Right,1.0,High/ Medium,167cm,66.0
236,P. Ševčík,28,Czech Republic,75,SK Slavia Praha,€5.5M,€1K,Right,1.0,High/ High,172cm,66.0
237,Matheus Nunes,23,Portugal,79,Sporting CP,€35M,€15K,Right,1.0,High/ Medium,183cm,76.0
238,R. Pereyra,31,Argentina,78,Udinese Calcio,€11.5M,€20K,Right,2.0,High/ High,182cm,77.0
239,C. Roldan,27,United States,75,Seattle Sounders FC,€6M,€9K,Right,1.0,High/ High,173cm,75.0
240,M. Antonio,32,Jamaica,79,West Ham United,€14M,€79K,Right,2.0,High/ Medium,178cm,82.0
241,W. Ben Yedder,31,France,84,AS Monaco,€35.5M,€88K,Right,2.0,High/ Low,170cm,68.0
242,R. Sterling,27,England,86,Chelsea,€72.5M,€195K,Right,4.0,High/ Medium,170cm,69.0
243,De Tomás,27,Spain,83,RCD Espanyol de Barcelona,€42.5M,€35K,Right,1.0,High/ High,180cm,79.0
